Open,High,Low,Close,Volume,Dividends,Stock Splits
40.22642840362551,40.732331849669364,40.013663047090226,40.72287368774414,102223600,0.0,0.0
40.78669630887005,41.26423239758745,40.65194818717739,40.71577453613281,118071600,0.0,0.0
40.78907198878904,41.008929193318,40.680328362351695,40.904911041259766,89738400,0.0,0.0
41.00183177135353,41.45808888562024,40.909634532307145,41.37062072753906,94640000,0.0,0.0
41.21696853637695,41.51483576967909,41.11767585137696,41.21696853637695,82271200,0.0,0.0
41.26423593165531,41.38480043057248,40.994736057957525,41.21222686767578,86336000,0.0,0.0
40.935636693433224,41.20513657711564,40.89781126236827,41.2027702331543,95839600,0.0,0.0
41.273694330200684,41.48645968645424,41.25005613988264,41.43681335449219,74670800,0.0,0.0
41.64958362434706,41.928541742132445,41.5242900076096,41.86471176147461,101672400,0.0,0.0
42.056191268448224,42.40843386632042,41.640122307512904,41.65194320678711,118263600,0.0,0.0
41.64248471024649,42.37533717258141,41.38717204557918,42.33987808227539,137547200,0.0,0.0
42.403709158553816,42.576286369845946,42.1389383022175,42.37770462036133,124773600,0.0,0.0
42.224034831399024,42.4533465451301,41.94035131554323,42.188575744628906,129700400,0.0,0.0
41.9143628174249,42.02783554573057,41.74888100380559,41.843441009521484,108434400,0.0,0.0
41.91434961611927,42.420253062549676,41.800876923552856,41.852882385253906,130756400,0.0,0.0
41.90253222479834,41.91435312458746,40.945097057594886,41.18622970581055,204420400,0.0,0.0
41.254790067263436,41.35880822622674,40.31390476913343,40.451019287109375,166116000,0.0,0.0
40.661405582647596,40.661405582647596,40.20278217508163,40.54556655883789,156572000,0.0,0.0
40.22642786452472,40.22642786452472,39.495941780176565,39.70634078979492,202561600,0.0,0.0
39.13188357190507,39.566865285177904,38.93566817133224,39.47230529785156,184192800,0.0,0.0
39.448661639191634,39.819816966790604,39.36119347467331,39.58104705810547,129915600,0.0,0.0
39.519577729320275,39.86236212682576,39.42265141615694,39.66378402709961,188923200,0.0,0.0
39.24299150983864,39.43211508193489,37.84821192918903,37.942771911621094,346375200,0.0,0.0
37.61181022801194,38.741819028012046,36.878957702568,36.99479675292969,290954000,0.0,0.0
36.60235864513446,38.703985863159026,36.40614328417663,38.54086685180664,272975200,0.0,0.0
38.555045826887905,38.628330334498315,37.60470635711078,37.71581268310547,206434400,0.0,0.0
37.893127066838154,38.06097519057505,36.64964557350124,36.67801284790039,217562000,0.0,0.0
37.283296030137855,37.47793539788598,35.662076393801016,37.12663269042969,282690400,0.1575,0.0
37.622732891584015,38.902143032420256,37.387737861738515,38.62205123901367,243278000,0.0,0.0
38.44165273800358,39.106282234819346,38.37044178799844,39.00896072387695,130196800,0.0,0.0
38.700367523731565,39.768520498634835,38.66239150396343,39.72816848754883,162579600,0.0,0.0
40.30261237315275,41.0859255781959,40.11509370628556,41.062191009521484,204588800,0.0,0.0
40.91265023197206,41.49657570131733,40.77260431804315,40.929264068603516,160704400,0.0,0.0
40.83906058367841,41.36364049255639,40.6895179674574,40.791587829589844,135722000,0.0,0.0
41.024206803925864,41.33040914602686,40.59219641185056,40.606441497802734,149886400,0.0,0.0
40.77972061724901,41.29005908564246,40.75835842021431,40.94587707519531,123967600,0.0,0.0
41.22359528792445,41.69358171853688,41.19273636737962,41.65797805786133,135249600,0.0,0.0
41.859742250574385,42.581337549676896,41.82651095960136,42.48164367675781,152648800,0.0,0.0
42.512499873841655,42.84006440046312,42.289373953630374,42.34396743774414,155712400,0.0,0.0
42.550483056442246,42.87330289745986,42.26327050213315,42.279884338378906,151128400,0.0,0.0
42.37958198658158,42.673918921932184,40.98386387454945,41.539302825927734,195208000,0.0,0.0
41.01708767523575,41.84787357991149,40.934007635992536,41.82651138305664,153816000,0.0,0.0
41.58914418427827,42.18968342282792,41.42536009704852,41.97130584716797,113605600,0.0,0.0
42.230036352190496,42.31074040150299,41.80752265644956,41.935699462890625,95154000,0.0,0.0
41.52505503882014,41.741060249905445,41.366019309695346,41.546417236328125,126814000,0.0,0.0
41.6532321786814,42.042514587007794,41.55591429305424,41.99979019165039,95096400,0.0,0.0
42.241910161474706,42.726138133332384,42.10660898552148,42.72138977050781,128740800,0.0,0.0
42.79496975581243,43.29344277724265,42.77598354987506,43.13440704345703,128828400,0.0,0.0
43.34091080119433,43.5569159950126,42.54573221913539,42.71900939941406,126774000,0.0,0.0
42.802082929926804,42.84955567624831,42.206288554486036,42.355831146240234,117473600,0.0,0.0
42.37008557434972,42.78310619981303,42.268019319620336,42.40568923950195,90975200,0.0,0.0
42.40568830427306,42.51725128187559,42.161200150447804,42.25614929199219,157618800,0.0,0.0
42.089979574552096,42.12558322771342,41.22121421803313,41.610496520996094,133787200,0.0,0.0
41.59626770019531,41.966560293352345,41.52505675029449,41.59626770019531,78597600,0.0,0.0
41.548791789589934,41.56066088503107,40.65154322771883,40.6539192199707,148219600,0.0,0.0
40.35245406684443,40.98859689830879,40.02014118801061,40.07948303222656,165963200,0.0,0.0
39.970291523808946,40.3334633122835,39.15137481689453,39.15137481689453,164115200,0.0,0.0
39.89434171864148,41.0882994826732,39.50743168732023,41.00996780395508,150164800,0.0,0.0
41.225964546016726,41.57489488205398,39.621362371773614,39.95842361450195,163690400,0.0,0.0
39.69970356584381,40.35721237596531,39.21072722848935,39.516929626464844,166674000,0.0,0.0
39.83262503562045,40.76785322328052,39.61661982031028,39.825504302978516,153594000,0.0,0.0
39.55490280233552,40.10084853859677,39.03981598663544,39.564395904541016,150347200,0.0,0.0
39.7922694085779,40.055747358301176,39.137136711237936,39.97029495239258,121112000,0.0,0.0
